"styrk08_code","occupation_label_no","employees_2025q4","fte_2025q1","fte_2025q2","fte_2025q3","fte_2025q4","annual_fte_proxy_2025","annual_fte_status","workforce_source_id","occupation_factor_low","occupation_factor_base","occupation_factor_high","factor_status","factor_source_id","potential_basis","rationale"
"3352","Skattefunksjonærer","2598","2549","2540","2484","2445","2504.5","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"3353","Saksbehandlere innen sosiale ytelser","4493","4515","4499","4476","4303","4448.25","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"3354","Saksbehandlere for førerkort, importlisenser mv.","11","10","10","11","11","10.5","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"3355","Politibetjenter mv.","12145","11744","11513","12010","11987","11813.5","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"3359","Andre yrker innen offentlig forvaltning","6437","5923","5886","5832","5813","5863.5","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"3411","Privatetterforskere mv.","8",,,"5",,,"unknown","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"3412","Miljøarbeidere innen sosiale fagfelt","16589","14900","14917","15535","15445","15199.25","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"3413","Religiøse yrker","3071","2306","2303","2313","2307","2307.25","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"3421","Idrettsutøvere","2253","1452","1420","1509","1615","1499","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"3422","Trenere og idrettsdommere","7721","3852","3999","3924","4027","3950.5","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"3423","Sports- og aktivitetsinstruktører","4867","2265","2171","2045","2154","2158.75","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"3431","Fotografer og filmfotografer","1245","1044","1104","1103","1127","1094.5","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"3432","Interiørdesignere og dekoratører","1615","1408","1434","1447","1488","1444.25","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"3433","Tekniske konservatorer","219","169","175","179","183","176.5","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"3434","Sjefskokker","3215","2973","3061","3035","3029","3024.5","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"3439","Andre yrker innen estetiske fag","1906","1574","1645","1635","1604","1614.5","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"3511","Driftsteknikere, IKT","16269","15690","15627","15731","15650","15674.5","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"3512","Brukerstøtte, IKT","5012","4742","4762","4781","4752","4759.25","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"3513","Nettverks- og systemteknikere, IKT","797","771","787","783","780","780.25","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
"3514","Internett-teknikere","226","221","221","221","214","219.25","derived_quarterly_mean","ssb-11658-occupation-workforce-2025",,,,"not_assessed",,,
